name,era,sex,g1_wins_total,won_february_stakes,won_takamatsunomiya_kinen,won_osaka_hai,won_oka_sho,won_satsuki_sho,won_tenno_sho_spring,won_nhk_mile_cup,won_victoria_mile,won_yushun_himba,won_tokyo_yushun,won_yasuda_kinen,won_takarazuka_kinen,won_sprinters_stakes,won_shuka_sho,won_kikuka_sho,won_tenno_sho_autumn,won_elizabeth_queen_cup,won_mile_championship,won_japan_cup,won_champions_cup,won_hanshin_juvenile_fillies,won_asahi_hai_futurity_stakes,won_arima_kinen,won_hopeful_stakes,won_overseas_g1,won_sprint_g1,won_mile_g1,won_2000plus_g1,won_2400plus_g1,won_classic_g1,won_2yo_g1,won_female_limited_g1,won_same_g1_twice,jra_flat_g1_win_names,overseas_g1_win_names,notes,won_dirt_g1,won_3000plus_g1
アーモンドアイ,2010年代,牝,9,false,false,false,true,false,false,false,true,true,false,false,false,false,true,false,true,false,false,true,false,false,false,false,false,true,false,true,true,true,true,false,true,true,桜花賞・ヴィクトリアマイル・オークス・秋華賞・天皇賞・秋・ジャパンC,ドバイターフ,ジャパンC・天皇賞秋は複数勝利,false,false
ジェンティルドンナ,2010年代,牝,7,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,true,false,true,true,true,true,false,true,true,桜花賞・オークス・秋華賞・ジャパンC・有馬記念,ドバイシーマクラシック,ジャパンCは複数勝利,false,false
ウオッカ,2000年代,牝,7,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,true,false,false,true,false,true,false,false,false,false,false,true,true,true,true,true,true,true,ヴィクトリアマイル・日本ダービー・安田記念・天皇賞・秋・ジャパンC・阪神JF／阪神3歳牝馬S,,安田記念は複数勝利,false,false
ブエナビスタ,2010年代,牝,6,false,false,false,true,false,false,false,true,true,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false,false,true,true,true,true,true,true,false,桜花賞・ヴィクトリアマイル・オークス・天皇賞・秋・ジャパンC・阪神JF／阪神3歳牝馬S,,,false,false
グランアレグリア,2020年代,牝,6,false,false,false,true,false,false,false,true,false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,true,false,true,true,桜花賞・ヴィクトリアマイル・安田記念・スプリンターズS・マイルCS,,マイルCSは複数勝利,false,false
ディープインパクト,2000年代,牡,7,false,false,false,false,true,true,false,false,false,true,false,true,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false,true,true,true,false,false,false,皐月賞・天皇賞・春・日本ダービー・宝塚記念・菊花賞・ジャパンC・有馬記念,,,false,true
キタサンブラック,2010年代,牡,7,false,false,true,false,false,true,false,false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,true,false,false,false,false,true,true,true,false,false,true,大阪杯・天皇賞・春・菊花賞・天皇賞・秋・ジャパンC・有馬記念,,天皇賞春は複数勝利,false,true
オルフェーヴル,2010年代,牡,6,false,false,false,false,true,false,false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,false,false,true,皐月賞・日本ダービー・宝塚記念・菊花賞・有馬記念,,有馬記念は複数勝利,false,true
イクイノックス,2020年代,牡,6,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,true,false,true,false,false,true,true,false,false,false,true,宝塚記念・天皇賞・秋・ジャパンC・有馬記念,ドバイシーマクラシック,天皇賞秋は複数勝利,false,false
モーリス,2010年代,牡,6,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,安田記念・天皇賞・秋・マイルCS,香港マイル・チャンピオンズマイル・香港カップ,,false,false
ロードカナロア,2010年代,牡,6,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,true,高松宮記念・安田記念・スプリンターズS,香港スプリント×2,スプリンターズSは複数勝利,false,false
テイエムオペラオー,2000年代,牡,7,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,true,false,false,false,false,true,true,true,false,false,true,皐月賞・天皇賞・春・宝塚記念・天皇賞・秋・ジャパンC・有馬記念,,天皇賞春は複数勝利,false,true
シンボリルドルフ,1980年代,牡,7,false,false,false,false,true,true,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false,true,true,true,false,false,true,皐月賞・天皇賞・春・日本ダービー・菊花賞・ジャパンC・有馬記念,,有馬記念は複数勝利,false,true
ナリタブライアン,1990年代,牡,5,false,false,false,false,true,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,true,true,true,true,true,false,false,皐月賞・日本ダービー・菊花賞・朝日杯FS／朝日杯3歳S・有馬記念,,,false,true
ゴールドシップ,2010年代,牡,6,false,false,false,false,true,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,false,false,true,皐月賞・天皇賞・春・宝塚記念・菊花賞・有馬記念,,宝塚記念は複数勝利,false,true
ダイワメジャー,2000年代,牡,5,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,true,false,true,false,false,true,皐月賞・安田記念・天皇賞・秋・マイルCS,,マイルCSは複数勝利,false,false
アパパネ,2010年代,牝,5,false,false,false,true,false,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,true,true,true,true,true,false,桜花賞・ヴィクトリアマイル・オークス・秋華賞・阪神JF／阪神3歳牝馬S,,,false,false
メジロドーベル,1990年代,牝,5,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,true,false,false,false,false,false,true,true,true,true,true,true,true,オークス・秋華賞・エリザベス女王杯・阪神JF／阪神3歳牝馬S,,エリザベス女王杯は複数勝利,false,false
タイキシャトル,1990年代,牡,5,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,true,false,false,false,false,false,false,true,true,true,false,false,false,false,false,true,安田記念・スプリンターズS・マイルCS,ジャック・ル・マロワ賞,マイルCSは複数勝利,false,false
トウカイテイオー,1990年代,牡,4,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,true,true,false,false,false,皐月賞・日本ダービー・ジャパンC・有馬記念,,,false,false
スペシャルウィーク,1990年代,牡,4,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,true,true,true,false,false,false,天皇賞・春・日本ダービー・天皇賞・秋・ジャパンC,,,false,true
グラスワンダー,1990年代,牡,4,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,true,true,false,true,false,true,宝塚記念・朝日杯FS／朝日杯3歳S・有馬記念,,有馬記念は複数勝利,false,false
メイショウサムソン,2000年代,牡,4,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,皐月賞・天皇賞・春・日本ダービー・天皇賞・秋,,,false,true
マヤノトップガン,1990年代,牡,4,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,天皇賞・春・宝塚記念・菊花賞・有馬記念,,,false,true
